Temperature,Relative_Humidity,Specific_Humidity,Precipitation,Pressure,Wind_Speed,Wind_Direction
26.4,57.264156,12.211933,34.81184,100.11851,2.64,96.75
26.67,79.38,17.03,55.21501,100.24988,2.81,90.94
26.91,77.19,14.356152,64.71977,100.31531,3.3236609,106.56
26.06,80.62,16.85,0.0,100.351105,2.52,115.0
26.54,71.10313,15.066462,0.0,100.34,3.47,83.19
26.63,79.31,15.320881,58.4728,100.38221,3.06,103.19
25.89,83.12,17.21,0.0,100.22,3.86,98.5
25.99,81.31,16.78,0.0,100.25,4.306391,112.88
26.44,72.751595,15.30002,66.55794,100.35324,3.05,119.69
26.78,71.97903,16.42,66.84815,100.36776,4.253091,166.00691
26.55,77.44,13.150962,36.424828,100.15724,2.1941092,122.31
26.52,79.31,16.91,58.17777,100.26258,1.75,123.13065
27.84,65.27074,15.261678,65.78054,100.35544,1.6,268.69
25.81,84.94,15.331745,72.70609,100.31,1.57,183.12
25.48,87.81,15.301216,76.8293,100.401085,3.8595798,148.1568
25.45,88.12,17.82,80.60527,100.392654,3.34,150.82405
26.27,66.69043,15.484637,79.21966,100.388855,3.9764996,103.94
26.64,67.28537,15.331381,0.03,100.37262,1.98,152.57115
26.29,76.88,16.17,0.09,100.36438,4.266145,153.97505
26.09,69.534424,15.025108,0.73,100.65,2.11,104.62
25.9,57.86382,15.87,34.86781,100.81,2.4572635,74.38
26.29,64.17808,15.69,0.01,100.81,2.71,151.71638
26.51,70.81,14.809231,59.77174,100.394646,2.23,72.31
26.52,74.62,15.81,0.58,100.77,4.276057,71.69
26.76,68.662704,15.363923,1.69,100.78,2.15,81.56
26.89,68.86214,15.796604,0.05,100.40659,2.69,175.99248
25.24,64.38,12.45,0.0,100.72,2.12,56.69
25.39,66.75,15.944273,0.0,100.61,2.08,191.62
26.07,74.19,15.993425,54.91129,100.63,4.274423,180.57826
25.83,66.7807,15.75,56.208706,100.58,4.339042,185.7988
26.76,70.94,15.08,36.6125,100.08817,2.2018676,102.206474
27.19,64.25281,14.25921,1.61,100.55,1.62,146.5005
25.91,86.62,18.01,3.85,100.381454,1.19,301.69
25.87,80.69,15.51521,0.25,100.38434,3.9073749,162.75531
27.17,66.412056,16.007002,63.792885,100.41966,1.15,171.06
27.46,67.46308,15.631083,72.467476,100.37,2.65,238.56
27.22,68.97851,14.65,0.01,100.42306,2.12,196.5
25.8,66.5,15.820032,77.574974,100.425156,3.8734436,178.56
25.93,67.12,12.88,77.613945,100.4262,1.84,130.12
26.88,68.12,15.475117,0.0,100.414116,1.93,144.66594
26.77,69.69,12.6278515,31.180689,100.14478,2.3247976,166.88
27.05,62.237778,12.21,0.0,100.8,3.23,58.56
25.97,65.21315,15.233819,55.01291,100.91,1.97,45.19
26.3,67.80502,15.540488,0.0,100.98,1.95,67.75
26.58,61.31,12.57,70.94263,100.403786,4.4826255,63.69
26.9,65.37786,15.779522,0.0,100.93,4.624845,57.25
25.21,65.05256,10.74,72.88964,100.84,4.6852264,189.75523
26.76,64.62,13.49,0.0,100.77,2.78,98.44
28.23,64.12,14.47,0.0,100.77,1.82,122.69
28.03,64.5,14.59,0.01,100.61,4.6214705,169.31
27.51,69.56,15.26,35.83543,100.47,3.07,125.81
28.9,66.1669,13.862583,53.469147,100.23602,3.09,125.56
28.7,70.19,16.48,0.49,100.55,3.84,116.0
29.05,65.75,15.26,0.0,100.30087,3.708636,156.2715
28.92,66.12,15.44,0.09,100.65,4.39,116.62
29.62,71.43524,14.733912,88.15542,100.49,2.55,92.38
29.03,71.06392,15.112709,1.05,100.47,2.34,169.79814
29.93,71.29684,15.27929,0.01,100.51,2.61,63.69
30.03,55.06,13.67,0.1,100.44,2.48,84.81
29.99,56.75,14.22,0.48,100.46,1.77,105.06
29.6,57.082733,13.31,0.0,100.16856,2.3810935,104.9049
28.9,63.270164,13.608582,0.0,100.29765,3.249814,139.82999
28.6,68.39557,12.88,68.808365,100.35,3.7391298,161.94
28.16,69.72486,15.191074,0.0,100.38,4.106201,167.39075
28.41,66.31,15.437181,0.0,100.36,3.09,140.69
28.37,60.38,15.7328,65.97495,100.41282,4.29,132.81
27.99,62.81,13.31,58.851578,100.42732,4.19,120.81
28.12,60.62,15.694052,60.06647,100.42721,3.9121237,161.78857
28.64,61.75,13.61,64.583435,100.411736,4.19,162.36311
28.62,64.19,14.28,59.384968,100.402084,3.8479557,143.75
28.74,56.998524,12.684013,34.325104,100.12208,3.4,150.06
29.62,64.98355,13.9526005,54.11133,100.23686,3.23,130.31366
28.44,69.46776,14.398522,0.01,100.51,3.31,156.31
29.5,63.38,15.26,0.01,100.32896,4.2,134.31
29.29,67.69,15.198598,76.639565,100.35,4.5,150.33774
29.51,65.44,15.5920925,72.7695,100.37382,4.99,129.94
29.34,66.56,15.99,0.44,100.356346,4.0286508,155.24634
29.37,67.62,16.48,0.02,100.59,3.87,134.44
30.45,59.94,15.08,83.89852,100.32674,4.2533956,128.44
30.14,62.62,15.93,88.75933,100.31272,3.91,156.6971
29.26,56.367023,12.615543,35.84749,100.11645,4.16,153.56
29.73,63.19,13.460374,57.643696,100.41,2.6542895,131.69
30.02,63.56,15.93,0.0,100.51,5.44,128.31
29.64,71.459045,14.718983,68.58286,100.31454,5.62,118.88
29.58,59.12,13.67,0.25,100.34991,3.4781785,113.31
30.26,72.575516,15.669037,53.422165,100.40991,3.3744204,146.94618
30.79,54.0,14.1,0.11,100.440704,4.07,109.25
29.48,70.89438,14.89,0.21,100.447174,3.4470043,152.34401
30.26,70.72097,14.1,0.05,100.44787,3.3963292,107.94
30.3,60.12,15.44,0.37,100.45806,3.2651918,117.94
28.24,57.24503,16.48,36.589787,100.59,2.89,113.09631
29.61,61.75,15.08,2.41,100.35053,2.32,97.94
29.44,65.0,15.2814045,46.883507,100.41528,3.5602553,150.69
29.97,62.06,15.8999195,43.669292,100.44552,3.6282072,135.56
28.17,69.25,16.203459,1.13,100.46075,3.633199,109.25
27.59,77.94,17.52,14.17,100.46484,3.54,105.69
28.51,73.69,16.332275,0.06,100.48139,3.7993014,117.44
29.73,67.12,15.942392,55.658787,100.38,5.17,123.12
30.06,66.94,16.97,64.55939,100.33,4.95,177.76514
30.54,65.1272,15.793527,67.68577,100.26,4.458904,182.26509
31.29,55.311806,16.78,0.0,100.2,3.41,157.94
31.43,62.75,13.532992,58.54462,100.22261,3.94,122.97654
30.87,61.88,16.11,73.47264,100.27036,3.374644,144.04398
30.85,68.018196,14.298553,84.05855,100.45,5.38,120.25
30.97,56.0,14.761024,85.81332,100.323494,4.053028,115.75
30.9,70.41652,15.142678,81.6543,100.34962,5.34,132.5
31.26,58.31,15.276264,77.0973,100.42,3.91,159.27153
31.62,71.43161,15.072941,82.64846,100.37,3.33,158.81
31.83,71.54232,15.202058,81.58542,100.33609,4.276794,177.5
31.92,71.93943,16.6,79.063736,100.33487,4.01,176.69
32.34,54.677647,12.605167,34.844303,100.31,3.64,191.19
32.37,59.56,16.85,4.25,100.29,2.7677295,206.12
30.51,65.08238,15.034416,67.16245,100.32785,2.89,159.06
30.05,66.06,15.502211,72.78723,100.37311,3.4,139.94
30.05,69.15335,15.767836,75.568115,100.42,3.7447827,150.92743
31.62,70.08592,15.346659,83.86471,100.38,3.55,145.81
30.58,63.81,16.97,1.69,100.42,2.3,154.38
31.31,53.62,15.0673275,1.59,100.44,4.19,125.5
31.23,60.62,15.191849,1.39,100.5,3.39,160.79668
31.01,62.75,15.147583,88.321815,100.328835,3.26,161.8498
31.55,62.19,17.09,1.8,100.45,2.94,151.38
30.19,67.0,13.662549,0.73,100.23777,2.8794894,124.46508
31.78,67.90575,14.217035,0.05,100.41,1.84,164.0
31.41,69.52289,17.4,69.43329,100.35224,3.8028638,156.27907
30.5,69.42032,15.324726,69.467064,100.53,4.1304264,167.99036
29.4,71.0,17.64,0.9,100.66,3.92,111.31
30.37,63.5,16.36,0.21,100.6,3.34,124.56
30.59,68.91169,16.42,59.769154,100.425705,3.65,178.30278
29.72,67.433685,15.898926,59.250965,100.37,4.418628,181.30174
29.4,68.56,17.09,1.59,100.48,4.39631,109.44
30.46,61.56,15.93,1.79,100.15309,4.26,111.31
30.93,60.44,15.99,0.47,100.34,4.62,120.75
30.58,68.00831,15.17796,0.81,100.34352,3.5006795,150.26532
28.28,68.31673,15.799948,3.86,100.41023,2.61,158.18909
29.1,76.44,18.92,2.98,100.16,2.58,147.38
28.5,67.12675,16.045574,58.526604,100.14,2.5,175.05522
28.65,67.935814,16.163317,13.36,100.44555,1.55,170.2654
28.98,68.44914,16.20821,70.47027,100.44564,3.8640578,202.44
28.52,84.81,16.238356,71.470726,100.44005,3.6601274,230.44
28.8,82.38,15.815947,76.47547,100.13,2.64,234.06
29.33,54.706432,19.96,1.66,100.162766,3.09,87.41158
28.92,59.30147,14.502834,3.12,100.344444,2.9282942,221.31
29.45,76.75,15.172718,51.546448,100.22,2.78,224.88
29.73,61.753754,15.255667,62.64619,100.16,2.84,231.81
30.19,71.75,18.62,74.90916,100.415016,2.69,149.42862
29.26,66.453964,15.258765,74.91573,100.407906,2.92,228.69
28.84,79.25,19.29,3.45,100.16,2.97,230.75
28.88,78.69,19.17,6.37,100.403206,4.0233936,238.25
27.98,69.993126,19.47,4.43,100.40906,3.8500946,251.56
28.03,70.74747,19.35,2.46,100.34,2.03,184.81
29.4,75.5,12.464489,31.100267,100.13419,2.1049185,194.5
29.25,61.56694,14.088078,40.659416,100.28289,2.77,220.19
29.15,64.864914,14.623644,52.3038,100.31,3.91,236.0
29.14,66.36217,14.8026905,61.939114,100.35,3.506277,234.12
28.33,68.206,19.65,63.258854,100.38895,3.5956626,241.38
28.1,70.228485,18.92,65.50721,100.38095,3.9,147.09622
27.04,83.94,15.285936,58.057552,100.385475,3.57,218.69
27.78,73.01756,17.88,50.871883,100.392944,3.58283,240.31
28.26,72.77937,18.01,1.8,100.393456,3.7370846,151.76448
29.67,71.5,17.88,0.47,100.23,3.02,229.25
28.4,79.25,18.92,36.75453,100.14625,2.2795637,241.56
28.22,77.69,18.13,4.47,100.38,3.94,254.62
28.57,63.683678,15.023151,70.67597,100.28,3.463741,251.44
29.76,68.5,14.961018,81.63479,100.32788,3.852537,147.50323
28.22,78.12,15.156813,1.0,100.48,4.1857653,155.71783
29.67,69.92263,15.281106,87.39212,100.38,2.54,239.5
29.69,69.887596,15.680498,0.52,100.29,2.47,166.75043
28.25,82.31,19.59,15.48,100.41962,4.0415897,220.44
28.6,69.29763,15.800286,2.62,100.17,3.37,220.5
29.17,68.61254,15.485186,74.15813,100.18,3.64,239.44
28.36,77.5,12.560009,36.074566,100.23,2.3784256,106.56699
27.53,63.820457,19.47,17.05,100.22,3.4298368,149.4533
26.05,64.81835,15.5588665,61.18937,100.39284,3.6896908,243.75
26.94,83.44,15.521446,1.29,100.21,3.09,259.69
26.56,86.06,18.62,76.01329,100.14,3.06,165.26996
