Temperature,Relative_Humidity,Specific_Humidity,Precipitation,Pressure,Wind_Speed,Wind_Direction
26.4,78.712,18.75,1.9999999999999996,100.51599999999999,2.64,96.75
26.67,79.38,17.03,7.640000000000001,100.396,2.81,90.94
26.91,77.19,17.332,1.8760000000000001,100.476,3.036,106.56
26.06,80.62,16.85,0.0,100.49000000000001,2.52,115.0
26.54,58.648,15.222,0.0,100.34,3.47,83.19
26.63,79.31,19.57,2.38,100.374,3.06,103.19
25.89,83.12,17.21,0.0,100.22,3.86,98.5
25.99,81.31,16.78,0.0,100.25,3.528,112.88
26.44,82.174,18.628000000000004,1.9259999999999997,100.39200000000001,3.05,119.69
26.78,64.886,16.42,1.1440000000000001,100.49199999999999,2.956,126.43800000000002
26.55,77.44,19.252000000000002,1.9340000000000004,100.382,2.366,122.31
26.52,79.31,16.91,3.38,100.58,1.75,136.31
27.84,85.914,16.884,3.5740000000000003,100.46199999999999,1.6,268.69
25.81,84.94,15.760000000000002,8.443999999999999,100.31,1.57,183.12
25.48,87.81,19.202,9.976,100.43799999999999,2.5420000000000003,198.11399999999998
25.45,88.12,17.82,2.624,100.49,3.34,159.15
26.27,70.336,14.782000000000002,0.244,100.58599999999998,2.162,103.94
26.64,69.336,15.796000000000001,0.03,100.492,1.98,129.012
26.29,76.88,16.17,0.09,100.382,3.31,241.286
26.09,65.102,14.512,0.73,100.65,2.11,104.62
25.9,77.824,15.87,2.602,100.81,3.37,74.38
26.29,67.336,15.69,0.01,100.81,2.71,164.52599999999998
26.51,70.81,19.142000000000003,0.088,100.446,2.23,72.31
26.52,74.62,15.81,0.58,100.77,2.162,71.69
26.76,71.574,16.98,1.69,100.78,2.15,81.56
26.89,75.876,18.482,0.05,100.454,2.69,118.676
25.24,64.38,12.45,0.0,100.72,2.12,56.69
25.39,66.75,15.868,0.0,100.61,2.08,191.62
26.07,74.19,15.808000000000002,0.06999999999999999,100.63,2.696,142.776
25.83,77.96000000000001,15.75,1.54,100.58,2.6220000000000003,176.76000000000002
26.76,70.94,15.08,0.008,100.48800000000001,2.446,139.0
27.19,79.762,17.494,1.61,100.55,1.62,171.3
25.91,86.62,18.01,3.85,100.518,1.19,301.69
25.87,80.69,16.148,0.25,100.46799999999999,3.012,141.012
27.17,86.426,19.494,6.279999999999999,100.268,1.15,171.06
27.46,85.7,18.97,1.8080000000000003,100.37,2.65,238.56
27.22,73.176,14.65,0.01,100.476,2.12,196.5
25.8,66.5,16.454,7.248,100.43599999999999,3.1239999999999997,178.56
25.93,67.12,12.88,2.6420000000000003,100.43999999999998,1.84,130.12
26.88,68.12,14.662,0.0,100.55000000000001,1.93,137.6
26.77,69.69,19.018,4.652,100.32199999999999,2.692,166.88
27.05,64.088,12.21,0.0,100.8,3.23,58.56
25.97,76.038,13.035999999999998,2.5759999999999996,100.91,1.97,45.19
26.3,66.012,13.55,0.0,100.98,1.95,67.75
26.58,61.31,12.57,3.849999999999999,100.408,1.9540000000000002,63.69
26.9,56.186,13.344,0.0,100.93,2.774,57.25
25.21,73.664,10.74,0.0,100.84,1.704,151.69
26.76,64.62,13.49,0.0,100.77,2.78,98.44
28.23,64.12,14.47,0.0,100.77,1.82,122.69
28.03,64.5,14.59,0.01,100.61,3.5840000000000005,169.31
27.51,69.56,15.26,2.908,100.47,3.07,125.81
28.9,84.212,18.432,4.042,100.34599999999999,3.09,125.56
28.7,70.19,16.48,0.49,100.55,3.84,116.0
29.05,65.75,15.26,0.0,100.67999999999999,3.002,144.026
28.92,66.12,15.44,0.09,100.65,4.39,116.62
29.62,68.862,15.428,0.414,100.49,2.55,92.38
29.03,85.038,18.518,1.05,100.47,2.34,107.09
29.93,62.812,16.236,0.01,100.51,2.61,63.69
30.03,55.06,13.67,0.1,100.44,2.48,84.81
29.99,56.75,14.22,0.48,100.46,1.77,105.06
29.6,65.074,13.31,0.0,100.42999999999999,2.754,155.752
28.9,68.174,13.206,0.0,100.454,3.436,128.426
28.6,80.264,12.88,9.056000000000001,100.35,2.632,161.94
28.16,65.534,13.318000000000001,0.0,100.38,3.444,115.436
28.41,66.31,17.066000000000003,0.0,100.36,3.09,140.69
28.37,60.38,15.198000000000002,0.514,100.372,4.29,132.81
27.99,62.81,13.31,0.074,100.386,4.19,120.81
28.12,60.62,17.08,1.654,100.586,2.7140000000000004,142.414
28.64,61.75,13.61,5.683999999999999,100.334,4.19,203.18800000000002
28.62,64.19,14.28,2.2939999999999996,100.40799999999999,2.5439999999999996,143.75
28.74,76.19800000000001,17.166000000000004,4.0920000000000005,100.40599999999999,3.4,150.06
29.62,91.538,15.796000000000001,0.122,100.486,3.23,108.274
28.44,68.402,16.784,0.01,100.51,3.31,156.31
29.5,63.38,15.26,0.01,100.47200000000001,4.2,134.31
29.29,67.69,17.224,2.482,100.35,4.5,225.85
29.51,65.44,14.296000000000001,0.49399999999999994,100.39399999999999,4.99,129.94
29.34,66.56,15.99,0.44,100.34400000000001,2.666,140.376
29.37,67.62,16.48,0.02,100.59,3.87,134.44
